 y          x              calc           prec      dif            N  location
 1.000000   1.000000       2.000000       2.000000  3.730349e-14   0  border
 1.000000   1.500000       2.500000       2.500000  2.442491e-14   1  border
 1.000000   2.000000       3.000000       3.000000  1.287859e-14   2  border
 1.000000   2.500000       3.500000       3.500000  2.664535e-15   3  border
 1.000000   3.000000       4.000000       4.000000  1.021405e-14   4  border
 1.500000   1.000000       2.500000       2.500000  2.442491e-14   5  border
 1.500000   1.500000       3.000000       3.000000  1.287859e-14   6  inner
 1.500000   2.000000       3.500000       3.500000  2.220446e-15   7  inner
 1.500000   2.500000       4.000000       4.000000  7.993606e-15   8  inner
 1.500000   3.000000       4.500000       4.500000  1.865175e-14   9  border
 2.000000   1.000000       3.000000       3.000000  1.287859e-14  10  border
 2.000000   1.500000       3.500000       3.500000  2.664535e-15  11  inner
 2.000000   2.000000       4.000000       4.000000  7.549517e-15  12  border
 2.000000   2.500000       4.500000       4.500000  1.865175e-14  13  border
 2.000000   3.000000       5.000000       5.000000  2.930989e-14  14  border
 2.500000   1.000000       3.500000       3.500000  3.108624e-15  15  border
 2.500000   1.500000       4.000000       4.000000  6.661338e-15  16  inner
 2.500000   2.000000       4.500000       4.500000  1.598721e-14  17  border
 2.500000   2.500000       0.000000       0.000000  0.000000e+00  18  outer
 2.500000   3.000000       0.000000       0.000000  0.000000e+00  19  outer
 3.000000   1.000000       4.000000       4.000000  7.105427e-15  20  border
 3.000000   1.500000       4.500000       4.500000  1.598721e-14  21  border
 3.000000   2.000000       5.000000       5.000000  2.575717e-14  22  border
 3.000000   2.500000       0.000000       0.000000  0.000000e+00  23  outer
 3.000000   3.000000       0.000000       0.000000  0.000000e+00  24  outer
||u-u*||/||u*|| = 4.505391e-15
||u-u*|| = 7.848955e-14
