 y          x              calc           prec      dif           N   reg  location
 1.000000   1.000000       2.000000       2.000000  0.000000e+00    0   0  border
 1.000000   1.500000       2.500000       2.500000  4.440892e-16    1   0  border
 1.000000   2.000000       3.000000       3.000000  0.000000e+00    2   0  border
 1.500000   1.000000       2.500000       2.500000  4.440892e-16    3   0  border
 1.500000   1.500000       2.941392       3.000000  5.860806e-02    4   0  inner
 1.500000   2.000000       3.250916       3.500000  2.490842e-01    5   0  border
 2.000000   1.000000       3.000000       3.000000  0.000000e+00    6   0  border
 2.000000   1.500000       3.500000       3.500000  0.000000e+00    7   0  border
 2.000000   2.000000       4.000000       4.000000  0.000000e+00    8   0  border
 1.000000   2.000000       3.000000       3.000000  0.000000e+00    9   1  border
 1.000000   2.500000       3.500000       3.500000  0.000000e+00   10   1  border
 1.000000   3.000000       4.000000       4.000000  0.000000e+00   11   1  border
 1.500000   2.000000       3.749084       3.500000  2.490842e-01   12   1  border
 1.500000   2.500000       4.058608       4.000000  5.860806e-02   13   1  inner
 1.500000   3.000000       4.500000       4.500000  8.881784e-16   14   1  border
 2.000000   2.000000       4.000000       4.000000  0.000000e+00   15   1  border
 2.000000   2.500000       4.500000       4.500000  8.881784e-16   16   1  border
 2.000000   3.000000       5.000000       5.000000  8.881784e-16   17   1  border
